"","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"13",13,100,0.78279816,0.822695,0.711538,5659642594,2.18008e+11,88434400,527110000,162.3,241,141,36.01,65,25,126.28,176,116,36.02,66,25,36.01,65,25,0,0,0,93,"Error correction","Error correction"
"14",14,100,0.81400413,0.844538,0.787037,466221391300000,9.7758e+15,1.29943e+12,9.01658e+13,228.24,249,215,42.43,52,36,185.81,205,170,42.43,52,36,42.43,52,36,0,0,0,77,"Error correction","Error correction"
"15",15,100,1,1,1,5.43715584710155e+28,1.18305e+29,1.14914e+20,1.70496e+27,327.17,688,206,0,0,0,327.17,688,206,0,0,0,0,0,0,0,0,0,122,"Learning","Learning"
"16",16,100,0.82278563,0.84466,0.796296,16855295770000,2.75164e+14,3.40637e+11,6.19615e+12,202.24,221,192,35.83,44,31,166.41,183,156,35.83,44,31,35.83,44,31,0,0,0,72,"Error correction","Error correction"
"17",17,100,0.78671723,0.815104,0.752747,9.6063978351e+21,3.54106e+23,8.47915e+17,5.47952e+20,371.35,404,347,79.17,91,70,292.18,319,266,79.17,91,70,79.17,91,70,0,0,0,104,"Error correction","Error correction"
"18",18,100,0.78453296,0.808989,0.755668,9.825663563229e+24,5.58681e+26,5.88359e+19,8.354405e+22,415.77,445,397,89.4,97,83,326.27,360,300,89.5,97,83,89.4,97,83,0,0,0,159,"Error correction","Error correction"
"19",19,100,0.81688041,0.858407,0.781095,139843195950000,6.25651e+15,1.1162e+11,2.95455e+13,216.43,238,201,39.61,47,32,176.82,194,157,39.61,47,32,39.61,47,32,0,0,0,63,"Error correction","Error correction"
"20",20,100,0.81884521,0.865217,0.791045,277827542720000,2.38667e+16,2.18008e+11,9.68148e+12,208.64,230,196,37.73,42,31,170.91,199,156,37.73,42,31,37.73,42,31,0,0,0,93,"Error correction","Error correction"
"21",21,100,0.89476175,1,0.79322,79654797742494000,5.05397e+18,3927270000,6.19615e+12,175.76,302,127,20.58,60,0,154.83,247,124,20.93,61,0,20.58,60,0,0,0,0,85,"Mixed bet hedging","Mixed bet hedging"
"22",22,100,0.79205261,0.83125,0.751366,4.1322986239141e+23,3.83922e+25,1.90934e+16,1.43642e+20,353.88,465,279,73.87,108,52,280.01,358,227,73.87,108,52,73.87,108,52,0,0,0,78,"Error correction","Error correction"
"23",23,100,0.80538577,0.842105,0.778243,13201040796600000,5.42666e+17,7.74518e+12,8.39735e+14,249.82,272,234,48.54,53,42,201.28,225,183,48.54,53,42,48.54,53,42,0,0,0,86,"Error correction","Error correction"
"24",24,100,0.81955047,0.859296,0.781022,322821443962000,2.38667e+16,29260500000,5.576535e+12,206.38,274,181,37.31,60,28,169.07,214,144,37.31,60,28,37.31,60,28,0,0,0,75,"Error correction","Error correction"
"25",25,100,0.81474352,0.845833,0.78972,317373078660000,1.52747e+16,8.31633e+11,3.69319e+13,220.7,240,208,39.83,44,35,179.87,203,165,40.83,45,36,39.83,44,35,0,0,0,75,"Error correction","Error correction"
"26",26,100,0.85650655,0.909091,0.8,5.0093319,9.31323,2.44141,3.8147,7.62,11,5,0,0,0,6.62,10,4,1,1,1,0,0,0,0,0,0,93,"Low activity","Low activity"
"27",27,100,1,1,1,6.523561,11.6415,3.05176,5.96046,6.58,10,4,0,0,0,6.58,10,4,0,0,0,0,0,0,0,0,0,56,"Low activity","Low activity"
"28",28,100,0.80918733,0.836066,0.784483,1029851170100000,1.22197e+16,3.96553e+12,1.76105e+14,236.84,249,225,45.14,50,40,191.7,206,177,45.14,50,40,45.14,50,40,0,0,0,97,"Error correction","Error correction"
"29",29,100,1,1,1,2.448382893518e+19,2.09027e+21,6.71788e+14,1.52747e+16,168.06,219,152,0,0,0,168.06,219,152,0,0,0,0,0,0,0,0,0,115,"Learning","Learning"
"30",30,100,1,1,1,1.17264022843782e+28,1.18305e+29,1.32487e+18,5.94091e+22,241.14,382,186,0,0,0,241.14,382,186,0,0,0,0,0,0,0,0,0,103,"Learning","Learning"
"31",31,100,0.98213699,1,0.923077,91955299000013,1.04967e+15,14.5519,4.61649e+13,105.07,154,13,0,0,0,104.77,154,12,0.3,1,0,0,0,0,0,0,0,76,"Bet-hedged learning","Bet-hedged learning"
"32",32,100,0.8169347,0.849558,0.790476,127375168300000,2.56267e+15,5.32245e+11,2.659095e+13,216.51,227,206,39.59,44,34,176.92,192,163,39.59,44,34,39.59,44,34,0,0,0,119,"Error correction","Error correction"
"33",33,100,0.7972097,0.820896,0.773234,2.324157851319e+19,8.56176e+20,2.20131e+14,3.47306e+17,301.29,335,269,60.96,61,59,240.33,275,208,60.96,61,59,60.96,61,59,0,0,0,111,"Error correction","Error correction"
"34",34,100,0.81404261,0.840467,0.786026,40179522917600000,6.78332e+17,3.17243e+12,2.56267e+15,252.51,298,222,46.95,62,40,205.56,240,175,46.95,62,40,46.95,62,40,0,0,0,94,"Error correction","Error correction"
"35",35,100,0.81876542,0.862745,0.776786,8.50910382456642e+23,4.79903e+25,1608610000,1.89091e+13,238.56,447,144,45.31,94,22,194.16,353,120,45.32,94,22,44.39,94,21,0,0,0,134,"Error correction","Error correction"
"36",36,100,0.82712766,0.868571,0.777778,1172380619700,2.95455e+13,9588070000,2.72509e+11,179.29,228,160,31.1,50,23,148.19,180,131,31.1,50,23,31.1,50,23,0,0,0,91,"Error correction","Error correction"
"37",37,100,0.78126299,0.810753,0.750577,2.282083019213e+26,1.27029e+28,1.33777e+21,4.12234e+24,449.92,469,414,98.15,108,88,351.56,377,324,98.36,108,88,98.13,108,87,0.02,1,0,210,"Error correction","Error correction"
"38",38,100,0.81918934,0.846491,0.791262,279401442950000,5.00521e+15,5.32245e+11,3.69319e+13,219.65,235,206,39.66,43,35,179.99,198,163,39.66,43,35,39.66,43,35,0,0,0,67,"Error correction","Error correction"
"39",39,100,0.81652747,0.852381,0.765343,67566423189130000,5.05397e+18,8.31633e+11,2.36364e+13,221.33,320,194,40.8,67,31,180.53,254,159,40.8,67,31,40.8,67,31,0,0,0,100,"Error correction","Error correction"
"40",40,100,0.87071577,0.891753,0.84739,7.14143525642416e+24,6.98351e+26,1.89091e+13,8.39735e+14,217.5,390,184,28.3,57,21,189.2,333,161,28.3,57,21,28.3,57,21,0,0,0,95,"Error correction","Error correction"
"41",41,100,0.80343465,0.823129,0.772242,1.01721324136485e+23,5.15292e+24,36575600000,1.31209e+15,263.7,418,178,50.81,81,33,211.89,336,143,51.81,82,34,50.81,81,33,0,0,0,90,"Error correction","Error correction"
"42",42,100,0.91834094,1,0.8,5.2498774,11.6415,2.44141,4.76837,7.1,11,4,0,0,0,6.53,10,4,0.57,1,0,0,0,0,0,0,0,95,"Low activity","Low activity"
"43",43,100,0.81593287,0.83913,0.789474,102669388720000,1.64011e+15,6.65306e+11,2.95455e+13,217.34,230,208,38.96,43,36,177.38,193,165,39.96,44,37,38.96,43,36,0,0,0,48,"Error correction","Error correction"
"44",44,100,0.80963403,0.840336,0.761538,30110216947800000,1.65608e+18,1.62428e+12,1.12707e+14,237.67,331,211,45.41,72,36,192.26,259,168,45.41,72,36,45.41,72,36,0,0,0,103,"Error correction","Error correction"
"45",45,100,0.77764653,0.816017,0.744526,2.6660227703538e+26,2.48104e+28,3.7655e+19,6.224515e+23,440.03,462,411,97.57,107,85,342.29,377,306,97.74,107,85,97.57,107,85,0,0,0,150,"Error correction","Error correction"
"46",46,100,0.78997005,0.820652,0.760656,1.5135115895593e+21,9.28267e+22,3.20333e+15,1.735145e+19,336.59,380,286,69.81,83,57,265.98,302,224,70.61,83,58,69.81,83,57,0,0,0,115,"Error correction","Error correction"
"47",47,100,0.80558243,0.854962,0.767442,5.39275222e+16,1.32487e+18,1.76105e+14,6.25651e+15,267.18,315,228,51.59,72,37,215.08,242,187,52.1,73,38,51.59,72,37,0,0,0,93,"Error correction","Error correction"
"48",48,100,0.7817265,0.817996,0.75,1.3905959148437e+28,1.18305e+29,9.28267e+22,3.66494e+26,484.86,513,461,105.65,118,89,379.1,411,353,105.76,118,89,105.65,118,89,0,0,0,166,"Error correction","Error correction"
"49",49,100,0.97183443,1,0.8,1.9108203658e+22,3.54106e+23,2.44141,3.26605e+21,176.49,242,5,0,0,0,176.28,242,4,0.21,1,0,0,0,0,0,0,0,101,"Bet-hedged learning","Bet-hedged learning"
"50",50,100,0.79003202,0.827089,0.757764,4.625944899861e+20,1.94672e+22,6.25651e+15,7.107145e+18,331.54,355,310,69.31,78,60,262.03,292,236,69.51,78,60,69.31,78,60,0,0,0,122,"Error correction","Error correction"
"51",51,100,0.79545462,0.821429,0.767442,3.81362254542e+19,1.07022e+21,5.00521e+15,2.58763e+18,318.85,336,301,65.05,70,60,253.72,276,231,65.13,70,60,65.05,70,60,0,0,0,125,"Error correction","Error correction"
"52",52,100,0.79243763,0.817942,0.769231,7.3367339513662e+21,2.83285e+23,5.00521e+15,1.1104915e+19,335.81,379,299,69.5,72,69,266.31,310,230,69.5,72,69,69.5,72,69,0,0,0,87,"Error correction","Error correction"
"53",53,100,0.94021431,1,0.8,1.6102167e+18,6.31746e+18,2.44141,1.65608e+18,109.37,193,5,0,0,0,108.93,193,4,0.44,1,0,0,0,0,0,0,0,97,"Bet-hedged learning","Bet-hedged learning"
"54",54,100,0.80428941,0.834416,0.781116,1306845634537799936,1.14914e+20,3.96553e+12,2.3064e+15,260.13,308,229,50.42,54,50,209.36,257,179,50.77,55,50,50.42,54,50,0,0,0,90,"Error correction","Error correction"
"55",55,100,0.79254235,0.827485,0.761905,1.32179456215e+20,6.379e+21,1.22197e+16,2.58763e+18,326.7,345,313,67.57,75,59,258.99,283,240,67.71,75,59,67.57,75,59,0,0,0,148,"Error correction","Error correction"
"56",56,100,1,1,1,5.5528877,9.31323,3.05176,4.76837,6.35,9,4,0,0,0,6.35,9,4,0,0,0,0,0,0,0,0,0,96,"Low activity","Low activity"
"57",57,100,0.79869825,0.825,0.764085,1.45629064044631e+21,5.94091e+22,1.12707e+14,8.88393e+18,322.23,366,260,64.51,73,51,257.43,300,202,64.8,73,51,64.51,73,51,0,0,0,110,"Error correction","Error correction"
"58",58,100,0.82282077,0.858025,0.766017,21469641998409650176,1.07022e+21,6136370000,3.40637e+11,199.69,402,144,35.2,92,21,163.49,309,122,36.2,93,22,35.2,92,21,0,0,0,98,"Error correction","Error correction"
"59",59,100,0.84694497,0.871622,0.825175,11845771200,57149400000,1029510000,7670460000,146.58,150,142,22.45,25,18,124.15,129,118,22.71,26,19,22.17,24,18,0,0,0,101,"Error correction","Error correction"
"60",60,100,1,1,1,6.5482981,11.6415,3.05176,4.76837,6.91,10,4,0,0,0,6.91,10,4,0,0,0,0,0,0,0,0,0,107,"Low activity","Low activity"
"61",61,100,0.92855522,1,0.8,5.7328753,11.6415,2.44141,4.76837,7.22,11,4,0,0,0,6.72,10,4,0.5,1,0,0,0,0,0,0,0,97,"Low activity","Low activity"
"62",62,100,0.79346012,0.828313,0.765432,5.7687570403e+19,1.33777e+21,2.38667e+16,2.58763e+18,324.3,341,311,67.4,76,56,257.35,277,242,67.4,76,56,66.8,76,56,0.15,1,0,98,"Error correction","Error correction"
"63",63,100,0.75722943,0.790588,0.727506,1.318549070308e+22,1.08065e+24,1.77821e+17,1.79553e+20,402.36,425,348,97.34,106,85,304.75,336,263,84.01,94,73,97.34,106,85,13.6,21,5,167,"Error correction","Error correction"
"64",64,100,0.82726073,0.848341,0.810811,18889744707000,3.43955e+14,57149400000,1.03954e+12,192.58,227,174,33.21,39,32,159.37,188,142,33.21,39,32,33.21,39,32,0,0,0,72,"Error correction","Error correction"
"65",65,100,0.82206285,0.85,0.796791,13190359507000,1.40884e+14,71436700000,3.17243e+12,199.77,212,187,34.88,39,30,164.26,178,149,35.51,40,30,34.88,39,30,0,0,0,91,"Error correction","Error correction"
"66",66,100,0.85695784,0.909091,0.8,4.7483582,9.31323,2.44141,4.76837,7.51,11,5,0,0,0,6.51,10,4,1,1,1,0,0,0,0,0,0,95,"Low activity","Low activity"
"67",67,100,0.78887567,0.815085,0.765193,2.442406994637e+23,1.57255e+25,5.05397e+18,3.26605e+21,384.16,411,362,80.63,85,76,303.14,335,277,81.02,86,76,80.63,85,76,0,0,0,160,"Error correction","Error correction"
"68",68,100,0.81701244,0.840376,0.788177,29984549580000,4.29944e+14,2.72509e+11,1.21018e+13,210.35,222,200,37.46,42,33,171.89,186,159,38.46,43,34,37.46,42,33,0,0,0,90,"Error correction","Error correction"
"69",69,100,0.82413613,0.857143,0.801047,8254442190000,1.40884e+14,1.74406e+11,2.03035e+12,196.11,205,190,34.46,38,29,161.65,174,153,34.46,38,29,34.46,38,29,0,0,0,94,"Error correction","Error correction"
"70",70,100,0.94068376,0.95,0.923077,44.215432,69.3889,14.5519,55.5112,17.32,20,13,0,0,0,16.32,19,12,1,1,1,0,0,0,0,0,0,109,"Low activity","Low activity"
"71",71,100,0.79718626,0.827795,0.762215,4.52222525435e+19,1.33777e+21,1.04967e+15,2.07011e+18,312.33,331,258,63.2,73,52,249.08,274,206,63.25,73,52,63.2,73,52,0,0,0,123,"Error correction","Error correction"
"72",72,100,0.986842,1,0.947368,23.524994,44.4089,11.6415,11.6415,13.13,19,10,0.25,1,0,12.88,18,10,0.5,2,0,0,0,0,0,0,0,122,"Low activity","Low activity"
"73",73,100,0.86215999,0.886228,0.838323,172068340400,3.96553e+12,9588070000,32918050000,151.13,184,136,20.91,29,17,130.22,155,119,20.91,29,17,20.91,29,17,0,0,0,100,"Error correction","Error correction"
"74",74,100,0.98376486,1,0.8,1.54559752988689e+28,1.18305e+29,2.44141,1.276513e+24,195.23,495,4,0,0,0,195.09,495,4,0.14,1,0,0,0,0,0,0,0,83,"Bet-hedged learning","Bet-hedged learning"
"75",75,100,0.77821772,0.80298,0.757692,6.2082469599336e+28,1.18305e+29,4.75273e+22,7.760825e+28,530.53,629,437,117.45,134,102,413.08,495,335,117.45,134,102,117.45,134,102,0,0,0,97,"Error correction","Error correction"
"76",76,100,0.84683733,0.864865,0.833333,24027553500,5.32245e+11,2513460000,11985100000,149.06,168,139,22.15,24,19,126.2,144,118,22.9,25,20,22.11,24,19,0,0,0,101,"Error correction","Error correction"
"77",77,100,0.8346036,0.904153,0.778169,1.71784232344624e+26,1.58787e+28,2.56267e+15,1.79553e+20,316.04,368,261,51.57,72,29,263.52,329,221,52.52,73,30,51.57,72,29,0,0,0,103,"Error correction","Error correction"
"78",78,100,0.79347313,0.823219,0.765957,7.830717749544e+21,6.91613e+23,9.7758e+15,1.92794e+19,338.62,379,299,69.36,78,59,268.8,312,233,69.82,79,59,69.36,78,59,0,0,0,109,"Error correction","Error correction"
"79",79,100,0.97589062,1,0.9375,9597448455.25142,23408400000,28.4217,22958.9,61.34,106,16,0,0,0,60.75,106,15,0.59,1,0,0,0,0,0,0,0,85,"Bet-hedged learning","Bet-hedged learning"
"80",80,100,0.78060588,0.804481,0.751678,2.5351214713206e+27,1.18305e+29,2.61284e+21,3.07138e+25,464.62,492,436,101.7,111,93,362.79,395,328,101.83,111,93,101.7,111,93,0,0,0,151,"Error correction","Error correction"
"81",81,100,0.7867856,0.816377,0.760989,2.176423908821e+23,1.00643e+25,3.23454e+18,1.33777e+21,379.94,409,363,80.71,88,74,299.03,333,277,80.91,88,74,80.71,88,74,0,0,0,155,"Error correction","Error correction"
"82",82,100,0.80206832,0.836134,0.770035,1.80695827039e+17,4.04317e+18,1.51273e+13,9.7758e+15,273.15,305,225,53.8,66,38,218.97,244,180,54.18,66,39,53.8,66,38,0,0,0,123,"Error correction","Error correction"
"83",83,100,0.77964354,0.807851,0.75,1.73168138334748e+27,9.46442e+28,4.38362e+20,4.12234e+24,451.09,484,424,98.94,106,93,351.87,391,318,99.22,106,93,98.94,106,93,0,0,0,146,"Error correction","Error correction"
"84",84,100,0.78283092,0.8125,0.746606,2.5165125964462e+27,1.18305e+29,1.67222e+21,1.25804e+25,458.57,480,442,99.19,111,90,359.08,390,330,99.49,112,90,99.19,111,90,0,0,0,147,"Error correction","Error correction"
"85",85,100,0.79316224,0.822404,0.761006,1.0460255009034e+21,9.28267e+22,7.82064e+15,3.23454e+18,324.53,366,293,66.97,76,64,257.51,301,229,67.02,76,64,66.97,76,64,0,0,0,109,"Error correction","Error correction"
"86",86,100,1,1,1,5.22845358e+18,4.70687e+19,5.42666e+17,3.23454e+18,190.44,202,182,0,0,0,190.44,202,182,0,0,0,0,0,0,0,0,0,79,"Learning","Learning"
"87",87,100,0.81032126,0.843866,0.763251,802232772651049984,4.70687e+19,5.32245e+11,2.20131e+14,241.23,352,210,45.94,75,37,195.29,277,165,45.94,75,37,45.94,75,37,0,0,0,78,"Error correction","Error correction"
"88",88,100,0.80787617,0.854271,0.763077,8.12999915086129e+25,8.12987e+27,6.65306e+11,3.095595e+14,255.7,523,195,50.01,118,29,205.69,405,159,50.01,118,29,50.01,118,29,0,0,0,60,"Error correction","Error correction"
"89",89,100,0.81108323,0.852018,0.778689,1151968320860000,7.28354e+16,5.32245e+11,4.61649e+13,226.98,293,207,42.9,60,33,184.08,233,164,42.9,60,33,42.9,60,33,0,0,0,98,"Error correction","Error correction"
"90",90,100,0.81930079,0.851675,0.790576,13105150467000,2.20131e+14,71436700000,2.03035e+12,198.98,217,191,34.91,39,30,163.07,180,151,35.91,40,31,34.91,39,30,0,0,0,82,"Error correction","Error correction"
"91",91,100,0.98097079,1,0.8,2.897850042797e+27,1.18305e+29,2.44141,8.435795e+25,211.65,299,4,0.01,1,0,211.5,299,4,0.16,2,0,0,0,0,0,0,0,39,"Bet-hedged learning","Bet-hedged learning"
"92",92,100,0.78580603,0.815,0.753463,3.0638035609502e+23,8.05144e+24,6.78332e+17,5.7411e+21,389.48,414,357,83.23,90,74,306.18,335,272,83.3,91,74,83.23,90,74,0,0,0,130,"Error correction","Error correction"
"93",93,100,0.94466886,1,0.8,5.08154e+16,1.42257e+17,2.44141,5.82683e+16,102.64,176,5,0,0,0,102.21,176,4,0.43,1,0,0,0,0,0,0,0,119,"Bet-hedged learning","Bet-hedged learning"
"94",94,100,0.97448746,1,0.936937,1904031126200,5.77061e+13,3141820000,5.32245e+11,121.55,141,111,2.97,7,0,118.58,141,104,2.97,7,0,2.97,7,0,0,0,0,59,"Learning","Learning"
"95",95,100,0.81957144,0.855895,0.797927,102427630750000,7.82064e+15,1.74406e+11,4.95692e+12,203.21,229,193,36.61,39,33,166.6,196,154,36.61,39,33,36.61,39,33,0,0,0,96,"Error correction","Error correction"
"96",96,100,0.86354551,0.909091,0.8,5.3054593,9.31323,2.44141,4.76837,7.94,11,5,0,0,0,6.94,10,4,1,1,1,0,0,0,0,0,0,84,"Low activity","Low activity"
"97",97,100,0.8405271,0.874172,0.814103,607994817400,2.36364e+13,2513460000,41147550000,161.43,213,141,25.84,38,19,135.59,175,119,25.84,38,19,25.84,38,19,0,0,0,92,"Error correction","Error correction"
"98",98,100,0.79403358,0.819048,0.762887,9.5262360439315e+20,9.28267e+22,5.3743e+14,1.05989e+18,313.87,370,269,64.54,76,55,249.3,303,210,64.57,76,55,64.54,76,55,0,0,0,107,"Error correction","Error correction"
"99",99,100,0.96577274,1,0.8,2.255826133e+20,4.08256e+21,2.44141,3.7655e+19,158.44,222,5,0,0,0,158.21,222,4,0.23,1,0,0,0,0,0,0,0,61,"Bet-hedged learning","Bet-hedged learning"
"100",100,100,1,1,1,3.06625833011261e+28,1.18305e+29,1.33777e+21,2.5744e+26,279.49,488,217,0,0,0,279.49,488,217,0,0,0,0,0,0,0,0,0,81,"Learning","Learning"
"101",101,100,1,1,1,4.90676323404466e+27,1.18305e+29,3.0124e+19,5.7411e+21,230.39,333,200,0,0,0,230.39,333,200,0,0,0,0,0,0,0,0,0,92,"Learning","Learning"
"102",102,100,0.79411621,0.822485,0.766102,4.01847874678e+19,1.67222e+21,2.05013e+15,7.631235e+17,314.81,338,295,64.37,69,59,250.11,278,226,64.7,69,60,64.37,69,59,0,0,0,129,"Error correction","Error correction"
"103",103,100,0.82403319,0.842932,0.802508,3.2407714938196e+24,7.49848e+25,6.31746e+18,1.81302e+23,365.05,389,311,64.09,71,56,300.89,327,255,64.16,71,56,64.09,71,56,0,0,0,116,"Error correction","Error correction"
"104",104,100,0.80587231,0.839844,0.773852,269249499753300000,6.31746e+18,3.96553e+12,4.83687e+14,254.38,314,205,49.43,66,37,204.95,254,168,50.43,67,38,48.43,65,36,0,0,0,86,"Error correction","Error correction"
"105",105,100,0.81560281,0.85,0.785455,57289067741039000,3.23454e+18,89295900000,2.127275e+13,222.26,292,176,41.12,59,29,181.14,241,144,41.12,59,29,41.12,59,29,0,0,0,95,"Error correction","Error correction"
"106",106,100,0.92737016,1,0.8,623889750000002,3.20333e+15,2.44141,4.29944e+14,82.2,159,5,0,0,0,81.71,159,4,0.49,1,0,0,0,0,0,0,0,100,"Bet-hedged learning","Bet-hedged learning"
"107",107,100,0.85807473,0.909091,0.8,4.9882435,9.31323,2.44141,3.8147,7.65,11,5,0,0,0,6.65,10,4,1,1,1,0,0,0,0,0,0,78,"Low activity","Low activity"
"108",108,100,0.86974812,0.916129,0.821782,322485278204000,2.38667e+16,45719500000,383216500000,164.88,250,140,21.78,41,13,143.1,209,125,21.78,41,13,21.78,41,13,0,0,0,98,"Mixed bet hedging","Mixed bet hedging"
"109",109,100,0.85663839,0.890295,0.817881,2.37724243008288e+27,1.18305e+29,9.68148e+12,5.82683e+16,252.66,484,197,36.14,62,25,216.52,422,165,36.14,62,25,36.14,62,25,0,0,0,78,"Error correction","Error correction"
"110",110,100,0.94058472,0.95,0.923077,44.326443,69.3889,14.5519,35.5271,17.3,20,13,0,0,0,16.3,19,12,1,1,1,0,0,0,0,0,0,91,"Low activity","Low activity"
"111",111,100,0.84257518,0.873333,0.791489,1537383520900,1.12707e+14,2513460000,32918050000,160.29,235,141,25.34,48,19,134.94,186,119,25.35,49,19,25.34,48,19,0,0,0,99,"Error correction","Error correction"
"112",112,100,1,1,1,3.46351411e+19,8.56176e+20,1.13805e+17,5.05397e+18,192.66,215,175,0,0,0,192.66,215,175,0,0,0,0,0,0,0,0,0,66,"Learning","Learning"
"113",113,100,0.77967349,0.811475,0.751163,2.3196417450449e+27,1.18305e+29,1.07022e+21,4.12234e+24,455.73,488,430,99.97,107,91,355.44,396,323,100.29,107,92,99.97,107,91,0,0,0,146,"Error correction","Error correction"
"114",114,100,0.94482264,0.95,0.941176,38.249395,55.5112,28.4217,35.5271,18.19,20,17,1,1,1,17.19,19,16,2,2,2,0,0,0,0,0,0,103,"Low activity","Low activity"
"115",115,100,0.7880655,0.8125,0.763934,3.546816779986e+20,9.96719e+21,5.00521e+15,4.54857e+18,334.01,362,305,70.6,72,66,263.36,294,233,70.65,72,66,70.6,72,66,0,0,0,109,"Error correction","Error correction"
"116",116,100,0.79929,0.842593,0.76087,1.36773374306789e+25,1.09117e+27,8.31633e+11,2.500605e+17,309.41,464,197,61.8,110,33,246.66,371,160,62.75,110,34,61.8,110,33,0,0,0,88,"Error correction","Error correction"
"117",117,100,0.93256496,1,0.8,1.9579889e+17,1.05989e+18,2.44141,1.28031e+17,101.92,185,5,0,0,0,101.47,185,4,0.45,1,0,0,0,0,0,0,0,80,"Bet-hedged learning","Bet-hedged learning"
"118",118,100,0.85975565,0.879433,0.840517,254423667861831392,2.40992e+19,9588070000,4.25796e+11,170.09,287,136,22.97,43,16,146.12,243,119,23.97,44,17,22.97,43,16,0,0,0,88,"Error correction","Error correction"
"119",119,100,0.85857149,0.909091,0.8,4.9099349,9.31323,2.44141,3.8147,7.62,11,5,0,0,0,6.62,10,4,1,1,1,0,0,0,0,0,0,76,"Low activity","Low activity"
"120",120,100,0.79423391,0.826531,0.771523,1.09930597816347e+23,8.05144e+24,9.7758e+15,2.40992e+19,342.86,392,302,70.37,73,68,272.49,324,233,70.37,73,68,70.37,73,68,0,0,0,103,"Error correction","Error correction"
"121",121,100,0.86266403,0.881119,0.846154,176389131000.34,6.19615e+12,1,26334450000,148.22,183,136,153.57,413,17,127.83,157,118,153.91,414,17,20.05,26,17,0,0,0,83,"Bet-hedged error correction","Bet-hedged error correction"
